num,rate,name,price,diff,updown,buy_hoga,sell_hoga,volume,yes_volume
63.0,167.33,조광페인트,7690.0,30.0,-0.39%,7690.0,7730.0,31398.0,11745.0
64.0,165.7,KODEX 미국달러선물레버리지,8965.0,165.0,+1.88%,8965.0,8970.0,259891.0,97813.0
65.0,165.67,한라홀딩스,37550.0,2400.0,-6.01%,37400.0,37450.0,37130.0,13976.0
66.0,161.81,대신증권,12000.0,350.0,-2.83%,11950.0,12000.0,364658.0,139283.0
67.0,161.48,TIGER 중국소비테마,7890.0,250.0,-3.07%,7880.0,7895.0,221791.0,84821.0
68.0,161.34,대신 2X 니켈선물 ETN(H),11520.0,845.0,+7.92%,11415.0,11435.0,42582.0,16294.0
69.0,158.72,신흥,10100.0,100.0,-0.98%,9930.0,10050.0,27070.0,10463.0
70.0,157.48,KODEX 건설,3555.0,5.0,-0.14%,3560.0,3565.0,576107.0,223751.0
71.0,157.04,신라교역,14000.0,100.0,-0.71%,13900.0,13950.0,21172.0,8237.0
72.0,149.14,모나미,2910.0,50.0,-1.69%,2905.0,2930.0,93294.0,37447.0
73.0,143.43,삼원강재,3045.0,5.0,+0.16%,3040.0,3045.0,15477.0,6358.0
74.0,142.79,한솔홈데코,1745.0,25.0,+1.45%,1750.0,1755.0,3305132.0,1361326.0
75.0,142.48,KODEX 코스피,22885.0,350.0,-1.51%,22865.0,22880.0,267333.0,110250.0
76.0,142.43,LG생활건강,1201000.0,96000.0,-7.40%,1201000.0,1202000.0,58469.0,24118.0
77.0,141.29,선도전기,5690.0,370.0,+6.95%,5660.0,5680.0,626799.0,259767.0
78.0,138.24,미래산업,211.0,7.0,-3.21%,211.0,212.0,5526661.0,2319759.0
79.0,137.6,유니드,43600.0,1400.0,-3.11%,43550.0,43600.0,24002.0,10102.0
80.0,136.45,현대상사,34150.0,1650.0,+5.08%,34100.0,34150.0,445207.0,188286.0
81.0,135.34,골든브릿지증권,2970.0,60.0,+2.06%,2925.0,2960.0,233532.0,99232.0
82.0,135.3,교보증권,9260.0,300.0,-3.14%,9280.0,9290.0,112242.0,47702.0
83.0,134.63,현대백화점,93800.0,5400.0,-5.44%,93600.0,93700.0,160367.0,68348.0
84.0,130.88,케이씨,18400.0,1100.0,-5.64%,18500.0,18550.0,69898.0,30274.0
85.0,130.8,에이엔피,595.0,9.0,-1.49%,589.0,591.0,424678.0,184002.0
86.0,130.79,LG하우시스,67900.0,2600.0,-3.69%,67700.0,67800.0,76249.0,33038.0
87.0,130.5,현대위아,39850.0,2100.0,-5.01%,39700.0,39750.0,232556.0,100893.0
88.0,126.82,쌍용양회우,5980.0,10.0,-0.17%,5950.0,5990.0,17635.0,7775.0
89.0,126.64,TIGER 미국달러선물레버리지,9005.0,175.0,+1.98%,8990.0,9000.0,19278.0,8506.0
90.0,124.49,삼성화재우,183500.0,1500.0,-0.81%,183000.0,183500.0,11871.0,5288.0
91.0,124.41,영원무역,39250.0,1100.0,+2.88%,38800.0,38850.0,194500.0,86671.0
92.0,124.27,광명전기,3275.0,180.0,+5.82%,3285.0,3290.0,730371.0,325672.0
93.0,123.22,서연,4410.0,245.0,-5.26%,4420.0,4440.0,44549.0,19957.0
94.0,121.77,만도,29650.0,2900.0,-8.91%,29700.0,29750.0,846526.0,381719.0
95.0,120.65,세방전지,37050.0,150.0,+0.41%,36950.0,37050.0,27791.0,12595.0
96.0,119.39,해성디에스,16750.0,0.0,0.00%,16700.0,16750.0,57624.0,26265.0
97.0,118.71,선창산업,6640.0,40.0,-0.60%,6650.0,6670.0,70410.0,32194.0
98.0,117.72,동국실업,1050.0,30.0,-2.78%,1045.0,1050.0,295651.0,135797.0
99.0,116.19,엔에스쇼핑,12500.0,300.0,-2.34%,12450.0,12500.0,46687.0,21595.0
100.0,113.35,하나금융지주,46050.0,450.0,+0.99%,46000.0,46050.0,1428881.0,669723.0
1.0,22578.61,엘엠에스,7420.0,1500.0,+25.34%,7360.0,7390.0,4816710.0,21239.0
2.0,1625.27,흥구석유,2820.0,80.0,+2.92%,2805.0,2810.0,291571.0,16900.0
3.0,1091.13,좋은사람들,5770.0,440.0,+8.26%,5790.0,5810.0,10821542.0,908512.0
4.0,835.63,제이에스티나,7820.0,130.0,+1.69%,7870.0,7900.0,386171.0,41274.0
5.0,636.93,디스플레이텍,3855.0,50.0,-1.28%,3825.0,3855.0,60885.0,8262.0
6.0,556.93,앤디포스,13200.0,1950.0,+17.33%,12800.0,12850.0,5687377.0,865753.0
7.0,526.02,재영솔루텍,1845.0,115.0,+6.65%,1835.0,1840.0,2186777.0,349317.0
8.0,525.87,플레이위드,7330.0,130.0,+1.81%,7320.0,7330.0,32633.0,5214.0
9.0,480.92,삼표시멘트,4490.0,255.0,+6.02%,4485.0,4490.0,1227695.0,211337.0
10.0,452.54,흥국,5660.0,190.0,+3.47%,5670.0,5690.0,1022748.0,185098.0
11.0,444.87,하이에이아이1호스팩,2040.0,5.0,-0.24%,2045.0,2050.0,61597.0,11305.0
12.0,437.16,에스엠코어,11500.0,1000.0,-8.00%,11550.0,11600.0,492306.0,91650.0
13.0,434.55,디지탈옵틱,1320.0,30.0,+2.33%,1305.0,1310.0,2516710.0,470806.0
14.0,340.13,이에스브이,1060.0,60.0,+6.00%,1040.0,1045.0,8555333.0,1943824.0
15.0,337.31,씨큐브,6810.0,250.0,-3.54%,6820.0,6830.0,56689.0,12963.0
16.0,322.36,디아이티,8080.0,370.0,+4.80%,8080.0,8090.0,643591.0,152379.0
17.0,320.12,하이셈,5530.0,200.0,-3.49%,5520.0,5540.0,552464.0,131500.0
18.0,308.59,티플랙스,3470.0,170.0,+5.15%,3455.0,3460.0,9583762.0,2345578.0
19.0,280.56,아난티,10850.0,800.0,+7.96%,10900.0,10950.0,9853502.0,2589182.0
20.0,271.28,서연전자,1845.0,55.0,-2.89%,1845.0,1855.0,69953.0,18841.0
21.0,257.1,일신바이오,2595.0,35.0,+1.37%,2600.0,2605.0,5717276.0,1601040.0
22.0,249.5,서울리거,3610.0,80.0,+2.27%,3420.0,3450.0,164815.0,47158.0
23.0,248.32,인지디스플레,1575.0,25.0,-1.56%,1570.0,1580.0,133450.0,38313.0
24.0,243.09,사람인에이치알,16950.0,1250.0,-6.87%,16750.0,16850.0,87138.0,25398.0
25.0,240.36,에스에프씨,4750.0,30.0,-0.63%,4530.0,4535.0,1654116.0,485992.0
26.0,238.57,유아이디,1810.0,125.0,-6.46%,1805.0,1810.0,118421.0,34977.0
27.0,235.36,세동,710.0,50.0,-6.58%,709.0,716.0,162721.0,48522.0
28.0,233.6,이에스에이,2725.0,75.0,-2.68%,2700.0,2730.0,72307.0,21675.0
29.0,227.61,와이엔텍,5270.0,220.0,+4.36%,5230.0,5250.0,546951.0,166952.0
30.0,223.52,하림,3005.0,35.0,-1.15%,3005.0,3010.0,487193.0,150591.0
31.0,222.5,안국약품,14600.0,1100.0,+8.15%,14500.0,14600.0,332623.0,103140.0
32.0,217.82,비츠로셀,10800.0,600.0,-5.26%,10750.0,10800.0,183603.0,57769.0
33.0,207.51,NICE평가정보,11050.0,750.0,+7.28%,10900.0,10950.0,474725.0,154377.0
