num,rate,name,price,diff,updown,buy_hoga,sell_hoga,volume,yes_volume
1.0,21904.0,평화홀딩스,4990.0,560.0,+12.64%,4990.0,5000.0,2432982.0,11057.0
2.0,9980.88,한성기업,7680.0,0.0,0.00%,7680.0,7690.0,1575036.0,15624.0
3.0,6792.33,현대에이치씨엔,3945.0,215.0,-5.17%,3940.0,3945.0,1855622.0,26923.0
4.0,5113.16,SMART 200TR,9315.0,5.0,-0.05%,9285.0,9320.0,318003.0,6100.0
5.0,3721.19,동원수산,11600.0,750.0,+6.91%,11600.0,11650.0,5307711.0,138902.0
6.0,2046.53,진흥기업,2055.0,95.0,+4.85%,2045.0,2055.0,134072.0,6246.0
7.0,1297.56,평화산업,2435.0,45.0,+1.88%,2435.0,2445.0,6003089.0,429541.0
8.0,1264.54,KODEX 모멘텀Plus,10940.0,235.0,-2.10%,10900.0,10940.0,193219.0,14160.0
9.0,1251.22,KODEX 고배당,9165.0,30.0,+0.33%,9155.0,9165.0,166160.0,12297.0
10.0,1113.75,모토닉,9210.0,170.0,-1.81%,9210.0,9260.0,309749.0,25520.0
11.0,812.42,맵스리얼티1,3905.0,10.0,-0.26%,3900.0,3905.0,99052.0,10856.0
12.0,755.61,샘표식품,37000.0,2350.0,+6.78%,37000.0,37050.0,562139.0,65700.0
13.0,750.48,KODEX 미국달러선물인버스2X,10825.0,10.0,-0.09%,10820.0,10825.0,150765.0,17727.0
14.0,729.01,TIGER 방송통신,10725.0,125.0,-1.15%,10725.0,10775.0,85968.0,10370.0
15.0,603.65,TIGER 차이나HSCEI,12815.0,20.0,+0.16%,12745.0,12815.0,35232.0,5007.0
16.0,565.4,TIGER 모멘텀,23285.0,210.0,-0.89%,23165.0,23260.0,36890.0,5544.0
17.0,531.87,사조해표,12100.0,300.0,+2.54%,12100.0,12150.0,653382.0,103404.0
18.0,485.97,KODEX 자동차,14280.0,60.0,+0.42%,14270.0,14280.0,94570.0,16139.0
19.0,439.19,삼호,14700.0,950.0,+6.91%,14650.0,14700.0,30459.0,5649.0
20.0,434.13,서울식품우,4005.0,265.0,-6.21%,4005.0,4020.0,559657.0,104779.0
21.0,382.16,KODEX 미국S&P500선물(H),13945.0,5.0,-0.04%,13910.0,13945.0,26972.0,5594.0
22.0,362.1,대신 2X 아연선물 ETN(H),7060.0,330.0,-4.47%,7040.0,7060.0,26303.0,5692.0
23.0,355.9,대원강업,4095.0,235.0,+6.09%,4085.0,4095.0,212947.0,46709.0
24.0,347.51,한라홀딩스,39000.0,1500.0,+4.00%,39000.0,39050.0,183315.0,40963.0
25.0,345.87,문배철강,3890.0,75.0,+1.97%,3885.0,3890.0,1129659.0,253363.0
26.0,336.42,KODEX 운송,2775.0,20.0,+0.73%,2775.0,2790.0,61064.0,13992.0
27.0,335.45,TIGER 우량가치,12220.0,10.0,-0.08%,12200.0,12220.0,229551.0,52716.0
28.0,332.79,대웅제약,175500.0,10500.0,-5.65%,175500.0,176000.0,96447.0,22285.0
29.0,327.97,아세아시멘트,135500.0,3000.0,-2.17%,134500.0,135500.0,33874.0,7915.0
30.0,325.99,S-Oil우,95400.0,400.0,-0.42%,95200.0,95400.0,41947.0,9847.0
31.0,321.69,KBSTAR 모멘텀로우볼,11710.0,25.0,+0.21%,11675.0,11710.0,72999.0,17311.0
32.0,310.83,에스엘,19500.0,450.0,-2.26%,19500.0,19550.0,160326.0,39025.0
33.0,308.43,KODEX WTI원유선물인버스(H),11305.0,185.0,+1.66%,11275.0,11305.0,24465.0,5990.0
34.0,308.01,KBSTAR 중소형고배당,9640.0,45.0,-0.46%,9600.0,9640.0,20731.0,5081.0
35.0,307.73,신도리코,49500.0,250.0,+0.51%,49500.0,49550.0,29063.0,7128.0
36.0,291.71,KODEX 밸류Plus,9780.0,5.0,+0.05%,9735.0,9780.0,82471.0,21054.0
37.0,273.22,페이퍼코리아,879.0,103.0,-10.49%,879.0,880.0,1911475.0,512163.0
38.0,272.19,KOSEF 미국달러선물,11660.0,5.0,+0.04%,11660.0,11665.0,93476.0,25115.0
39.0,271.96,KODEX 200가치저변동,8500.0,35.0,+0.41%,8500.0,8505.0,200641.0,53942.0
40.0,257.52,지코,734.0,21.0,+2.95%,731.0,734.0,245432.0,68649.0
41.0,236.76,유니드,43000.0,450.0,-1.04%,42850.0,43000.0,85335.0,25340.0
42.0,234.98,광전자,2280.0,40.0,-1.72%,2265.0,2280.0,113666.0,33932.0
43.0,225.65,TRUE 코스피 양매도 5% OTM ETN,10615.0,0.0,0.00%,10615.0,10620.0,834678.0,256312.0
44.0,224.0,LG이노텍,133000.0,3000.0,+2.31%,132500.0,133000.0,456681.0,140950.0
45.0,221.95,한솔로지스틱스,1640.0,0.0,0.00%,1620.0,1640.0,184479.0,57300.0
46.0,214.51,TIGER 증권,3820.0,25.0,-0.65%,3820.0,3835.0,21475.0,6828.0
