num,rate,name,price,diff,updown,buy_hoga,sell_hoga,volume,yes_volume
63.0,192.48,일진디스플,4680.0,135.0,-2.80%,4675.0,4680.0,285826.0,97725.0
64.0,192.18,TIGER 레버리지,12920.0,435.0,-3.26%,12920.0,12940.0,82845.0,28354.0
65.0,190.71,대신증권,12050.0,300.0,-2.43%,12000.0,12050.0,404909.0,139283.0
66.0,190.11,코오롱글로벌,7950.0,140.0,-1.73%,7950.0,7980.0,20615.0,7106.0
67.0,185.49,KODEX 코스피,22900.0,335.0,-1.44%,22895.0,22900.0,314751.0,110250.0
68.0,183.74,KODEX 미국달러선물레버리지,8960.0,160.0,+1.82%,8960.0,8965.0,277531.0,97813.0
69.0,183.37,TIGER 미국S&P500선물인버스(H),6690.0,5.0,-0.07%,6690.0,6700.0,38224.0,13489.0
70.0,181.42,삼원강재,3035.0,5.0,-0.16%,3035.0,3040.0,17893.0,6358.0
71.0,180.56,서울식품우,4270.0,290.0,+7.29%,4265.0,4270.0,83444.0,29742.0
72.0,178.84,대신 2X 니켈선물 ETN(H),11490.0,815.0,+7.63%,11470.0,11490.0,45434.0,16294.0
73.0,178.32,애경유화,9420.0,580.0,-5.80%,9410.0,9420.0,343226.0,123319.0
74.0,176.38,삼성화재우,183500.0,1500.0,-0.81%,183000.0,183500.0,14615.0,5288.0
75.0,172.85,신라교역,14000.0,100.0,-0.71%,13950.0,14000.0,22475.0,8237.0
76.0,172.41,TIGER 중국소비테마,7925.0,215.0,-2.64%,7920.0,7925.0,231061.0,84821.0
77.0,172.39,LG생활건강,1197000.0,100000.0,-7.71%,1196000.0,1197000.0,65695.0,24118.0
78.0,170.87,현대상사,34800.0,2300.0,+7.08%,34800.0,34850.0,510003.0,188286.0
79.0,170.63,현대백화점,94200.0,5000.0,-5.04%,94200.0,94300.0,184972.0,68348.0
80.0,168.28,모나미,2910.0,50.0,-1.69%,2905.0,2910.0,100461.0,37447.0
